"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV10eeda87","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__Intestinimonas","s__"
"ASV5d40ad78","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__NK4A214 group","s__"
"ASVd1e300b9","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Leyella","s__"
"ASV38555c9c","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Gemmiger","s__"
"ASVa306596e","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__","s__"
"ASV28535ea0","k__Bacteria","p__Bacillota","c__Negativicutes","o__Veillonellales-Selenomonadales","f__Veillonellaceae","g__Megasphaera","s__elsdenii"
"ASVfac9c124","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Faecalibacterium","s__prausnitzii"
"ASV75e2f6b4","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__","s__"
"ASV5161116e","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Segatella","s__"
"ASVd118e55d","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Blautia","s__obeum"
"ASV723b88ae","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Coprococcus","s__comes"
"ASV5999b8ff","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Gemmiger","s__"
"ASVbea0aabc","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Xylanibacter","s__"
"ASVd60b1165","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Enterobacterales","f__Enterobacteriaceae","g__Escherichia-Shigella","s__coli"
"ASV338f2586","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Faecalibacterium","s__prausnitzii"
"ASV2d32de8a","k__Archaea","p__Methanobacteriota","c__Methanobacteria","o__Methanobacteriales","f__Methanobacteriaceae","g__Methanobrevibacter","s__smithii"
"ASVc9cc892e","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Acutalibacter","s__"
"ASVfe17afa5","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotellaceae NK3B31 group","s__"
"ASVac6307ab","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Leyella","s__"
"ASVec4c07ef","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__[Eubacterium] coprostanoligenes group","g__","s__"
"ASV2023d416","k__Bacteria","p__Bacillota","c__Clostridia","o__","f__","g__","s__"
"ASVcda4609b","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Blautia","s__"
"ASV3c0b0f53","k__Bacteria","p__Bacillota","c__Bacilli","o__RF39","f__","g__","s__"
"ASVdf1ebdaf","k__Bacteria","p__Bacillota","c__Bacilli","o__Erysipelotrichales","f__Erysipelotrichaceae","g__Catenisphaera","s__"
"ASVc29fa281","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Xylanibacter","s__"
"ASVcf9afa9b","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__","s__"
"ASVd6bec21d","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__","s__"
"ASV870eaadb","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__UCG-005","s__"
"ASV4d58b857","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotellaceae NK3B31 group","s__"
"ASV9fab72de","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Segatella","s__"
"ASVb72ce0cd","k__Bacteria","p__Bacillota","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__Clostridium","s__"
"ASVc6194611","k__Bacteria","p__Bacillota","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__Clostridium","s__"
"ASVdcead4a8","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Muribaculaceae","g__","s__"
"ASV2781a92b","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__","s__"
"ASV6998e6eb","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__[Eubacterium] coprostanoligenes group","g__","s__"
"ASV78264e3f","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","g__Rikenellaceae RC9 gut group","s__"
"ASV7d7bec60","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Segatella","s__"
"ASVfec541dc","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotellaceae UCG-003","s__"
"ASV78b2f044","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","g__Rikenellaceae RC9 gut group","s__"
"ASVeee74d41","k__Bacteria","p__Bacillota","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Anaerovoracaceae","g__Mogibacterium","s__"
"ASV5b0e29c9","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Butyricicoccaceae","g__UCG-008","s__"
"ASVadd89d16","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Fournierella","s__"
"ASVa97c50ad","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Gemmiger","s__"
"ASV0fdf9070","k__Bacteria","p__Bacillota","c__Bacilli","o__Erysipelotrichales","f__Erysipelotrichaceae","g__","s__"
"ASV917d1f7f","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnospiraceae NK4A136 group","s__bacterium"
"ASV39334cd6","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Agathobacter","s__"
"ASV83d6674b","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__UCG-005","s__"
"ASV9c642ecb","k__Bacteria","p__Bacillota","c__Bacilli","o__RF39","f__","g__","s__"
"ASV722d8c5d","k__Bacteria","p__Bacillota","c__Negativicutes","o__Veillonellales-Selenomonadales","f__Veillonellaceae","g__Dialister","s__"
"ASV28df1fe1","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Xylanibacter","s__"
"ASVa014486b","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Faecalibacterium","s__"
"ASV2a4741f8","k__Archaea","p__Methanobacteriota","c__Methanobacteria","o__Methanobacteriales","f__Methanobacteriaceae","g__Methanobrevibacter","s__"
"ASV643952ad","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Dorea","s__"
"ASV361f206b","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__UCG-002","s__"
"ASV3155ce28","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotellaceae NK3B31 group","s__"
"ASV2fef1ea1","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__vulgatus"
"ASV6ef79b34","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__[Ruminococcus] gauvreauii group","s__"
"ASV4f008cf8","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__","s__"
"ASV0fa22f04","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__Colidextribacter","s__"
"ASVdc06bbe5","k__Bacteria","p__Actinomycetota","c__Coriobacteriia","o__Coriobacteriales","f__Atopobiaceae","g__Olsenella","s__umbonata"
"ASVb0c033f1","k__Bacteria","p__Bacillota","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__Clostridium","s__butyricum"
"ASVcddde461","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Blautia","s__"
"ASV7f591bbb","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__UCG-002","s__"
"ASVff957985","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Muribaculaceae","g__","s__"
"ASV1171afbc","k__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Limosilactobacillus","s__"
"ASV9d453f76","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__","s__"
"ASV83ba7cd4","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Eubacteriaceae","g__Pseudoramibacter","s__"
"ASV0d47b90b","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__Pseudoflavonifractor","s__"
"ASVb4da08f7","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Anaerobutyricum","s__"
"ASV450144bc","k__Bacteria","p__Bacillota","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__Clostridium","s__celatum"
"ASV17a2dd13","k__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","s__gallolyticus"
"ASV76902823","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__[Eubacterium] coprostanoligenes group","g__","s__"
"ASV5eceff44","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Negativibacillus","s__"
"ASV31be507a","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotellaceae NK3B31 group","s__"
"ASV488c5a00","k__Bacteria","p__Campylobacterota","c__Campylobacteria","o__Campylobacterales","f__Campylobacteraceae","g__Campylobacter","s__hyointestinalis"
"ASVdd40f3e4","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__Intestinimonas","s__"
"ASV96c3caf3","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__UCG-002","s__"
"ASVced2cf0f","k__Bacteria","p__Spirochaetota","c__Spirochaetia","o__Spirochaetales","f__Spirochaetaceae","g__Treponema","s__"
"ASV46448354","k__Archaea","p__Methanobacteriota","c__Methanobacteria","o__Methanobacteriales","f__Methanobacteriaceae","g__Methanobrevibacter","s__"
"ASVd84d38d0","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Acutalibacter","s__"
"ASV26347e19","k__Archaea","p__Methanobacteriota","c__Methanobacteria","o__Methanobacteriales","f__Methanobacteriaceae","g__Methanobrevibacter","s__"
"ASV61b27e6e","k__Bacteria","p__Bacillota","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__Clostridium","s__bornimense"
"ASV09874a9a","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__plebeius"
"ASV184e9b4a","k__Bacteria","p__Bacillota","c__Bacilli","o__RF39","f__","g__","s__"
"ASV1062c819","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Muribaculaceae","g__","s__"
"ASV0052a4c6","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotellaceae NK3B31 group","s__"
"ASVfd0fbd85","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__NK4A214 group","s__"
"ASV588c8cd6","k__Bacteria","p__Bacillota","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__Clostridium","s__bornimense"
"ASV450e06da","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotellaceae NK3B31 group","s__"
"ASV050093be","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__[Ruminococcus] gauvreauii group","s__"
"ASV6874f842","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Mediterraneibacter","s__"
"ASVda4a042d","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Xylanibacter","s__"
"ASV5abd5fc6","k__Bacteria","p__Bacillota","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__Clostridium","s__"
"ASV73eb55b8","k__Bacteria","p__Bacillota","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Anaerovoracaceae","g__Family XIII AD3011 group","s__"
"ASVac7e72d0","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Faecalibacterium","s__prausnitzii"
"ASVc96b1be4","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__UCG-005","s__"
"ASVeed0d7f9","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Fusicatenibacter","s__"
"ASV9d72c093","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Segatella","s__"
"ASVeb88e0da","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__","s__"
"ASVe4706770","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Muribaculaceae","g__","s__"
"ASV12a0dbee","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__UCG-002","s__"
"ASV3b9f39bc","k__Bacteria","p__Bacillota","c__Negativicutes","o__Acidaminococcales","f__Acidaminococcaceae","g__Phascolarctobacterium","s__"
"ASVa22337f9","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Gemmiger","s__"
"ASVef7740e8","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Tannerellaceae","g__Parabacteroides","s__"
"ASVb6be3279","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Segatella","s__"
"ASV4afcc721","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Roseburia","s__inulinivorans"
"ASVa5f0f495","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__[Eubacterium] coprostanoligenes group","g__","s__"
"ASV90a3ca5e","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Leyella","s__"
"ASV1490384f","k__Bacteria","p__Bacillota","c__Bacilli","o__Erysipelotrichales","f__Erysipelatoclostridiaceae","g__Catenibacterium","s__"
"ASVbc3bae31","k__Bacteria","p__Bacillota","c__Bacilli","o__Erysipelotrichales","f__Erysipelatoclostridiaceae","g__Catenibacterium","s__mitsuokai"
"ASV280c0b8a","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotellaceae NK3B31 group","s__"
"ASVc18a19f5","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__","s__"
"ASV4b6231e3","k__Bacteria","p__Bacillota","c__Clostridia","o__Christensenellales","f__Christensenellaceae","g__","s__"
"ASV76a4b91e","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__","s__"
"ASV24ab0bb0","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Muribaculaceae","g__","s__"
"ASVf0fecdc1","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Tannerellaceae","g__Parabacteroides","s__"
"ASVa05cfd73","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__UCG-002","s__"
"ASVb92ed29e","k__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Enterococcaceae","g__Enterococcus","s__cecorum"
"ASV1c9a5c37","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnospiraceae ND3007 group","s__"
"ASV64e38031","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Marvinbryantia","s__"
"ASVbd876936","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__UCG-005","s__"
"ASV0b4bdfed","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__NK4A214 group","s__"
"ASV8c4e1795","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Blautia","s__"
"ASV9f184f1c","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Frisingicoccus","s__"
"ASV6c6bb702","k__Bacteria","p__Bacillota","c__Clostridia","o__Christensenellales","f__Christensenellaceae","g__Christensenellaceae R-7 group","s__"
"ASVd3f7d0a8","k__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Lactobacillus","s__amylovorus"
"ASVc3f00ba0","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","g__Rikenellaceae RC9 gut group","s__"
"ASV8a06d7c6","k__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Ligilactobacillus","s__"
"ASV9203b8ce","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__NK4A214 group","s__"
"ASV75773a8b","k__Bacteria","p__Bacillota","c__Negativicutes","o__Veillonellales-Selenomonadales","f__Selenomonadaceae","g__Mitsuokella","s__"
"ASV18321d6d","k__Bacteria","p__Bacillota","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__Clostridium","s__"
"ASVde2f998b","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__[Eubacterium] eligens group","s__"
"ASV81fafe2c","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","g__dgA-11 gut group","s__"
"ASVff3ac6ac","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__","s__"
"ASVaec4ded1","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__UCG-005","s__"
"ASV86eea2c4","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__","s__"
"ASV5606f8b1","k__Bacteria","p__Bacillota","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Anaerovoracaceae","g__Family XIII AD3011 group","s__"
"ASV5f2267a0","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__UCG-002","s__"
"ASV99b1f996","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__UCG-005","s__"
"ASVbf262639","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","g__Rikenellaceae RC9 gut group","s__"
"ASV5c060b3d","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__NK4A214 group","s__"
"ASV7bb84d2a","k__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiia","o__Verrucomicrobiales","f__Akkermansiaceae","g__Akkermansia","s__muciniphila"
"ASV895b2e24","k__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Limosilactobacillus","s__"
"ASV545e905c","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__","s__"
"ASV49e2b2a0","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Dorea","s__"
"ASV85ad5316","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Fournierella","s__"
"ASV51dd38e1","k__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Limosilactobacillus","s__"
"ASV0db46ad3","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__[Eubacterium] eligens group","s__"
"ASV214798cf","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__","s__"
"ASVc1a4e3fd","k__Bacteria","p__Bacillota","c__Clostridia","o__","f__","g__","s__"
"ASV3da8ac31","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","g__Rikenellaceae RC9 gut group","s__"
"ASV4fef347f","k__Bacteria","p__Actinomycetota","c__Coriobacteriia","o__Coriobacteriales","f__Eggerthellaceae","g__Adlercreutzia","s__"
"ASVec0cf2cc","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__UCG-002","s__"
"ASVa49ddff6","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Dorea","s__formicigenerans"
"ASV716d05a7","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__","s__"
"ASV012415b0","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Muribaculaceae","g__CAG-873","s__"
"ASV34af8b71","k__Bacteria","p__Bacillota","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Peptostreptococcaceae","g__Intestinibacter","s__"
"ASV932cba4c","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__","g__","s__"
"ASV45b4c7ad","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__UCG-005","s__"
"ASVb6106a79","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Ruminococcus","s__"
"ASV90b2ce49","k__Bacteria","p__Bacillota","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__Clostridium","s__chartatabidum"
"ASV05d0f63f","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Butyricicoccaceae","g__Agathobaculum","s__"
"ASVe7e50935","k__Bacteria","p__Spirochaetota","c__Spirochaetia","o__Spirochaetales","f__Spirochaetaceae","g__Treponema","s__porcinum"
"ASVc13028f0","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnospiraceae NK4A136 group","s__bacterium"
"ASVac8a9db6","k__Bacteria","p__Bacillota","c__Negativicutes","o__Veillonellales-Selenomonadales","f__Veillonellaceae","g__Dialister","s__"
"ASVa6e40d9e","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Tannerellaceae","g__Parabacteroides","s__"
"ASVc74df06f","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__NK4A214 group","s__"
"ASVc2715808","k__Bacteria","p__Bacillota","c__Clostridia","o__Clostridia UCG-014","f__","g__","s__"
"ASV008c6413","k__Bacteria","p__Bacillota","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__Clostridium","s__"
"ASVcb30d53e","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__","s__"
